#Chinese	#English
了無罣礙沒有牽絆	Completely Free of Worries Without obstacles.
了生死	ending the cycle of birth and death
事事無礙	mutual unobstructedness among phenomena
事有人我相 禪無分別心	Characteristics of self and other are found in phenomena; Discriminative minds are absent in Chan.
事能知足心常泰 人到無求品自高	A contented mind is a perpetual feast; A mind bereft of desire naturally makes one noble.
事與願違	when things go against your will
二六時	twelve hours
二十一世紀的未來世界	Prospects of the 21st Century
二十四史	Twenty-four Dynastic Histories
二十樂 犯錯的人樂在懺悔 安份的人樂在其中 中獎的人樂不可支 喜捨的人樂善好施 熱心的人樂於公益 隨緣的人樂天知命 自在的人樂山愛水 旅行的人樂不思蜀 精進的人樂而不荒 淡泊的人樂業安居 逍遙的人樂以忘憂 研究的人樂此不疲 知足的人樂貧安逸 慈悲的人樂善好義 蜜月的人樂愛相待 無我的人樂於分享 莊重的人樂而不邪 豐收的人樂見成果 興奮的人樂而能定 修道的人樂道安貧	Twenty Ways to Find Joy Wrongdoers can find joy in repentance. Find joy in enjoying one's actions. Prizewinners find joy in rewards. Generous people find joy in giving. Passionate people find joy in philanthropy. Find joy in being content with whatever one has. Carefree people find joy relaxing in nature. Travelers find joy being away from home. Diligent people find joy in zealous practice. Detached people find joy in a simple life. Free people find joy in forgetting their troubles. Researchers find joy in conducting their studies. Content people find joy in living a simple life. Compassionate people find joy in kind and righteous deeds. Honeymooners find joy in being with each other. Selfless people find joy in sharing. Righteous people find joy in being upright. Farmers find joy in a fruitful harvest. Find joy in peace after moments of excitement. Spiritual practitioners find joy in the Way and frugality.
二單書記	Second Deputy Secretary
二單監寺	Second Deputy Superintendent
二壇	the second platform
二眾塔	Two Assemblies Pagoda
二禪	the second dhyana
二而一	they are different, yet the same
云何應住	In What Should One Abide?
五乘佛法; 1. 人乘 2. 天乘 3. 聲聞乘 4. 緣覺乘 5. 菩薩乘	Five Vehicles: 1. Human vehicle 2. Heavenly vehicle 3. Sravaka vehicle 4. Pratyekabuddha Vehicle 5. Bodhisattva Vehicle
五停心觀; 1. 不淨觀 2. 慈悲觀 3. 因緣觀 4. 念佛觀 5. 數息觀	Five Contemplations: 1. The contemplation of impurity; 2. The contemplation of loving-kindness and compassion; 3. The contemplation of causes and conditions; 4. The contemplation of the Buddha; 5. The contemplation of counting the breath
五台山真容院	Zhenrong Temple on Mount Wutai
五和 1. 自心和樂 2. 人我和敬 3. 家庭和順 4. 社會和諧 5. 世界和平	Five Harmonies 1. Individual harmony achieved through joy; 2. Interpersonal harmony achieved through respect; 3. Family harmony achieved through deference; 4. Social harmony achieved through cooperation; 5. World harmony achieved through peace.
五和塔	Five Harmonies Pagoda
五家七派; 1. 臨濟宗 2. 溈仰宗 3. 曹洞宗 4. 雲門宗 5. 法眼宗 6. 楊岐派 7. 黃龍派	Chan Schools: 1. The Linji School; 2. The Guiyang School; 3. The Caodong School; 4. The Yunmen School; 5. The Fayan School; 6. The Yangqi School; 7. The Huanglong School
五戒; 1. 不殺 2. 不盜 3. 不邪淫 4. 不妄語 5. 不飲酒	Five Precepts: 1. refrain from killing; 2. refrain from stealing; 3. refrain from sexual misconduct; 4. refrain from lying; 5. refrain from consuming intoxicants
五戒菩薩戒	Five Precepts & Bodhisattva Precepts Ceremony
五戒菩薩戒戒會	Five Precepts & Bodhisattva Precepts Ceremony
五欲; 1. 財 2. 色 3. 名 4. 食 5. 睡	Five Desires: 1. wealth; 2. sex; 3. fame; 4. food and drink; 5. sleep
五濁惡世; 1. 劫濁 2. 見濁 3. 煩惱濁 4. 眾生濁 5. 命濁	Saha World: 1. kalpa degeneration; 2. view degeneration; 3. affliction degeneration; 4. sentient being degeneration; 5. life-span degeneration
五無間罪; 1. 受苦無間 2. 身形無間 3. 時間無間 4. 罪器無間 5. 眾類無間	Avici Hell: 1. Uninterrupted suffering; 2. Uninterrupted physical form; 3. Uninterrupted time; 4. Uninterrupted implements of torture; 5. Uninterrupted categories of beings
五百羅漢 (靈山勝境)	Five Hundred Arhat Garden
五種不翻; 1. 多含不翻 2. 祕密不翻 3. 尊貴不翻 4. 順古不翻 5. 此方無不翻	Five Kinds of Untranslatable Terms: 1. Terms with multiple meanings; 2. Terms with esoteric meanings; 3. Terms of reverence; 4. Terms traditionally transliterated; 5. Terms without local equivalent
五聖同心開淨土 七眾協力護道場	With one mind, the Five Sages build Pure Lands; Through concerted effort, the Seven Assemblies support the cultivation court.
五蘊; 1. 色 2. 受 3. 想 4. 行 5. 識	Five Aggregates: 1. form; 2. feeling; 3. perception; 4. mental formations; 5. consciousness
五蘊皆空觀自在 六塵不染見如來	See that the Five Skandhas are empty: be at perfect ease; Remain untainted by the Six Objects: perceive the Tathagata.
五衰相現; 1. 衣服垢穢 2. 頭上華萎 3. 腋下出汗 4. 身體臭穢 5. 不樂本座; 小五衰相; 1.樂聲不起 2.身光忽滅 3.浴水著身 4.著境不捨 5. 眼目數瞬	Five Signs of Decay: 1. Clothes become filthy; 2. Garland atop the head fades; 3. The armpits become sweaty; 4. The body becomes foul-smelling; 5. The heavenly palace appears unpleasant; Five Minor Signs of Decay: 1. The music stops; 2. The body’s radiance fades; 3. Bathwater clings to the body; 4. Attachment to their surroundings; 5. The eyes start blinking
五觀堂	Five Contemplations Hall
五觀若明金易化 三心未了水難消	If the Five Contemplations are fully practiced, even gold is easily consumed; Shall the Three Minds remain unaware, even water becomes indigestible.
五逆; 1. 殺父 2. 殺母 3. 殺阿羅漢 4. 出佛身血 5. 破和合僧	Five Great Violations: 1. Killing one's father; 2. Killing one's mother; 3. Killing an arhat; 4. Shedding the blood of a buddha; 5. Creating a schism in the monastic community
五體投地	throwing all five limbs to the ground
享有就好	To Enjoy and Appreciate Is Sufficient Enough
人中尊	the Honored One among humans
人事主任	Director of Human Resources
人出巧言 以誠相接 人出漏言 以婉相答 人出戲言 以默相待 人出廢言 以簡相告	In hearing sweet words, Respond with honesty. In hearing flawed words, Respond with politeness. In hearing dishonest words, Respond with silence. In hearing idle words, Respond with brevity.
人勝諸天; 1. 勇猛勝 2. 憶念勝 3. 梵行勝	Human Realm: 1. superior bravery; 2. superior recollection; 3. superior pure practices
人勤春來早 家和喜事多	Happiness ensues diligent hearts; Joy comes to harmonious families.
人命在呼吸間	we can only count on a single breath
人和事成	Harmony Accomplishes Everything
人和互助	Harmony and Mutual Help
人和家慶	A Harmonious Family Calls for Celebration
人和家慶 金玉滿堂	A Harmonious Family Calls for Celebration; A House Filled with Treasures of Gold and Jade
人在眾中 心在定中	Settle Amongst People, Abide in Meditative Concentration
人在眾中 心在定裏	Settle Amongst People, Abide in Meditative Concentration
人天	humans and devas
人天歡喜	Joy for Both Heavenly and Human Beings
人天眼目	Eyes of Heaven and Earth
人學的重要	The importance of learning how to be a human
人師	a teacher of humans
人成佛成	Buddhahood Is Attained Upon the Attainment of a Perfected Character
人成即佛成	Buddhahood is attained the instant our characters are perfected
人我不二	Unity of Self and Others
人我互換	Switch Places with Others
人我吉祥	Auspicious Blessings for the Self and Others
人我和敬	Harmonious and Respectful Relations
人我和敬 共生吉祥	Harmonious and Respectful Relations; Auspicious Coexistence
人我相	characteristics of the self and others
人文國小	Ilan Humanity Primary School
人正心好	An Upright Personality Makes a Good Heart
人正心安	An Upright Character with a Mind at Peace
人死亡之後的生命怎麼樣	Buddhism in Every Step: When We Die
人海慈航─怎樣知道有觀世音菩薩	A Compassionate Ferry: Where is Guanyin Bodhisattva?
人海燈	Lamp in the Ocean of People Monthly
人無信不立 天有日方明	Dishonesty shatters any ground you stand on; Only in the presence of the sun can the sky light up.
人生三百歲	Live three hundred years' worth of life.
人生三百歲 寺院億萬千	Live a life worth three hundred years' endeavors; Building temples in thousands and millions.
人生二十最 人生最大的敵人是自己 人生最大的毛病是自私 人生最大的悲哀是無知 人生最大的錯誤是邪見 人生最大的失敗是驕慢 人生最大的煩惱是欲望 人生最大的無明是怨尤 人生最大的過失是侵犯 人生最大的困擾是是非 人生最大的美德是慈悲 人生最大的勇氣是認錯 人生最大的能源是信仰 人生最大的擁有是感恩 人生最大的修養是寬容 人生最大的本錢是尊嚴 人生最大的歡喜是法樂 人生最大的發心是利眾 人生最大的富有是滿足 人生最大的希望是平安 人生最大的收穫是圓滿	Twenty Foremost Things in Life The foremost enemy in life is self. The foremost malady in life is selfishness. The foremost sadness in life is ignorance. The foremost error in life is delusion. The foremost failure in life is arrogance. The foremost defilement in life is desire. The foremost ignorance in life is complaint. The foremost default in life is transgression. The foremost problem in life is conscience. The foremost virtue in life is compassion. The foremost courage in life is to confess. The foremost energy in life is religious faith. The foremost possession in life is gratitude. The foremost cultivation in life is magnanimity. The foremost asset in life is dignity. The foremost happiness in life is spiritual joy. The foremost devotion in life is to benefit beings. The foremost hope in life is peace. The foremost wealth in life is contentment. The foremost reward in life is a perfect outcome.
人生二十笑 (一) 爭執時友善一笑 展現人生的風度 吃虧時微微一笑 展現人生的肚量 委屈時坦然一笑 展現人生的自信 無奈時幽默一笑 展現人生的境界 危難時泰然一笑 展現人生的定力 生氣時平靜一笑 展現人生的素養 出糗時會心一笑 展現人生的智慧 挫折時淡然一笑 展現人生的力量 失意時樂觀一笑 展現人生的豁達 害怕時輕鬆一笑 展現人生的勇氣	Twenty Reasons to Laugh (1)  A friendly smile in times of quarrel is a demonstration of one's demeanor. A faint smile in times of disadvantage is a demonstration of one's tolerance. A genuine smile in times of aggrievement is a demonstration of one's dignity. A subtle smile in times of helplessness is a demonstration of one's state of mind. A composed smile in times of danger is a demonstration of one's calmness. A peaceful smile in times of anger is a demonstration of one's disposition. A reassuring smile in times of embarrassment is a demonstration of one's wisdom. A bland smile in times of setback is a demonstration of one's strength. A cheerful smile in times of disappointment is a demonstration of one's magnanimity. An airy smile in times of fear is a demonstration of one's courage.
人生二十笑 (二) 誤會時灑脫一笑 展現人生的修為 分手時優雅一笑 展現人生的大氣 生疏時親切一笑 展現人生的隨和 難堪時轉念一笑 展現人生的睿智 羞愧時大方一笑 展現人生的率真 生病時達觀一笑 展現人生的態度 苦惱時開懷一笑 展現人生的氣度 緊張時天真一笑 展現人生的直率 受騙時開朗一笑 展現人生的坦蕩 得意時含蓄一笑 展現人生的謙卑	Twenty Reasons to Laugh (2) A carefree smile in times of misunderstanding is a demonstration of one's deportment. An elegant smile in times of a breakup is a demonstration of one's manner. An amiable smile in times of estrangement is a demonstration of one's friendliness.  A hopeful smile in times of sorrow is a demonstration of one's cleverness. A gracious smile in times of shame is a demonstration of one's ingenuousness. An optimistic smile in times of ailment is a demonstration of one's attitude. A happy smile in times of distress is a demonstration of one's comportment. An honest smile in times of nervousness is a demonstration of one's frankness.  A warm smile in times of deceit is a demonstration of one's clear conscience. A reserved smile in times of triumph is a demonstration of one's humbleness.
人生十問	Buddhism in Every Step: Ten of Life’s Common Concerns
人生卜事	Positive Forecasts for Life
人生如夢誰是我 到處能安即是家	Life is but a dream, so who am I? Peaceful is a mind that sees anywhere as home.
人生月刊	Human Life Monthly Magazine
人生無量壽 佛教億萬年	Life is ageless; Faith is timeless.
人生猶似西山日 富貴終如草上霜	Life is like the setting sun in the West; Wealth is nothing but dew on grass.
人生百事	One Hundred Tasks of Life
人生要有些什麼? 人生活著要有希望 人生存在要有明天 人生意義要有信仰 人生每天要有工作 人生眼界要有遠見 人生前途要有計劃 人生做事要有觀察 人生方便要有結緣 人生交友要有情義 人生性格要有慈悲 人生發展要有動力 人生處世要有服務 人生行事要有周全 人生存活要有大眾 人生活動要有空間 人生積善要有無私 人生評斷要有明鑒 人生滋長要有忙碌 人生安危要有思量 人生可否要有智慧	The Must Haves in Life We must have hope in order to live. We must have tomorrow in order to exist. We must have faith in order to find meaning. We must have a job to do everyday. We must have perspective in our vision. We must have a plan for the future. We must be observant in completing tasks. We must develop affinities in order to find help. We must show sentiment and loyalty to our friends. We must have compassion in our character. We must find motivation in order to progress. We must offer our service to find our place in this world. We must be considerate in everything we do. We must have affinities in order to survive. We must have space in order to be active. We must be selfless in order to accumulate good. We must be reasonable in our judgment. We must be industrious at growing and improving. We must prepare for sunny and rainy days. We must be wise in saying ‘yes’ and ‘no.’
